tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner1_id,winner2_id,winner_seed,winner_entry,loser1_id,loser2_id,loser_seed,loser_entry,score,best_of,round,winner1_name,winner1_hand,winner1_ht,winner1_ioc,winner1_age,winner2_name,winner2_hand,winner2_ht,winner2_ioc,winner2_age,loser1_name,loser1_hand,loser1_ht,loser1_ioc,loser1_age,loser2_name,loser2_hand,loser2_ht,loser2_ioc,loser2_age,winner1_rank,winner1_rank_points,winner2_rank,winner2_rank_points,loser1_rank,loser1_rank_points,loser2_rank,loser2_rank_points,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2020-0301,Auckland,Hard,32,A,20200113,255,104233,105047,,,106207,103946,2,,6-7(5) 6-3 (10-7),3,R32,Frederik Nielsen,R,190,DEN,36.38056126,Tim Puetz,R,,GER,32.15058179,Mate Pavic,L,,CRO,26.52703628,Bruno Soares,R,180,BRA,37.87542779,44,1770,57,1405,18,3740,24,3410,87,4,2,70,51,40,12,10,6,6,3,1,73,50,37,14,11,3,5
2020-9158,Cordoba,Clay,32,A,20200203,269,105269,104235,3,,104919,105120,4,,6-3 7-6(4),3,F,Marcelo Demoliner,R,,BRA,31.04175222,Matwe Middelkoop,R,,NED,36.41889117,Leonardo Mayer,R,188,ARG,32.72279261,Andres Molteni,R,,ARG,31.88774812,58,1530,59,1460,116,719,55,1605,87,1,1,62,45,35,14,11,2,2,4,1,63,44,32,10,10,6,7
2020-9158,Cordoba,Clay,32,A,20200203,268,104919,105120,4,,104216,104802,1,,6-4 3-6 (10-8),3,SF,Leonardo Mayer,R,188,ARG,32.72279261,Andres Molteni,R,,ARG,31.88774812,Maximo Gonzalez,R,175,ARG,36.54209446,Fabrice Martin,R,,FRA,33.3963039,116,719,55,1605,32,2890,22,3395,87,5,1,60,45,34,7,9,4,5,0,1,63,45,33,10,10,5,6
2020-9158,Cordoba,Clay,32,A,20200203,267,105269,104235,3,,105431,105271,,,6-4 6-3,3,SF,Marcelo Demoliner,R,,BRA,31.04175222,Matwe Middelkoop,R,,NED,36.41889117,Ariel Behar,R,,URU,30.22587269,Gonzalo Escobar,L,,ECU,31.03627652,58,1530,59,1460,74,1109,71,1157,69,2,1,53,33,25,13,10,5,6,0,2,51,32,21,9,9,3,6
2020-9158,Cordoba,Clay,32,A,20200203,266,104216,104802,1,,106065,105077,,,W/O,3,QF,Maximo Gonzalez,R,175,ARG,36.54209446,Fabrice Martin,R,,FRA,33.3963039,Marco Cecchinato,R,,ITA,27.34291581,Albert Ramos,L,188,ESP,32.04654346,32,2890,22,3395,417,100,273,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-9158,Cordoba,Clay,32,A,20200203,265,104919,105120,4,,105487,105550,,,W/O,3,QF,Leonardo Mayer,R,188,ARG,32.72279261,Andres Molteni,R,,ARG,31.88774812,Facundo Bagnis,L,,ARG,29.93292266,Guido Pella,L,185,ARG,29.71663244,116,719,55,1605,213,305,60,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-9158,Cordoba,Clay,32,A,20200203,264,105269,104235,3,,105943,124079,,Alt,7-6(5) 6-2,3,QF,Marcelo Demoliner,R,,BRA,31.04175222,Matwe Middelkoop,R,,NED,36.41889117,Federico Gaio,R,,ITA,27.91512663,Pedro Martinez Portero,R,,ESP,22.77344285,58,1530,59,1460,855,32,193,358,68,5,2,62,44,33,11,10,5,5,1,3,65,44,34,7,10,5,7
2020-9158,Cordoba,Clay,32,A,20200203,263,105431,105271,,,106329,105262,,,4-6 6-3 (13-11),3,QF,Ariel Behar,R,,URU,30.22587269,Gonzalo Escobar,L,,ECU,31.03627652,Thiago Monteiro,L,,BRA,25.67830253,Fernando Romboli,R,180,BRA,31.08008214,74,1109,71,1157,755,40,100,845,81,2,2,63,46,34,12,10,1,2,3,1,57,40,30,9,9,1,2
2020-9158,Cordoba,Clay,32,A,20200203,262,104216,104802,1,,104665,104547,,,6-3 6-2,3,R32,Maximo Gonzalez,R,175,ARG,36.54209446,Fabrice Martin,R,,FRA,33.3963039,Pablo Andujar,R,180,ESP,34.02874743,Horacio Zeballos,L,188,ARG,34.770705,32,2890,22,3395,1374,10,3,5430,57,5,1,47,35,28,8,9,2,2,1,1,44,28,20,7,8,0,3
2020-9158,Cordoba,Clay,32,A,20200203,261,106065,105077,,,104600,200225,,,6-4 3-6 (10-6),3,R32,Marco Cecchinato,R,,ITA,27.34291581,Albert Ramos,L,188,ESP,32.04654346,Treat Conrad Huey,L,178,PHI,34.43394935,Nathaniel Lammons,U,,USA,26.47775496,417,100,273,190,157,463,115,725,66,2,1,61,40,28,13,9,3,4,7,2,63,46,35,7,10,2,3
2020-9158,Cordoba,Clay,32,A,20200203,260,104919,105120,4,,105160,106228,,,6-3 1-6 (10-5),3,R32,Leonardo Mayer,R,188,ARG,32.72279261,Andres Molteni,R,,ARG,31.88774812,Guillermo Duran,R,,ARG,31.6605065,Juan Ignacio Londero,R,,ARG,26.46954141,116,719,55,1605,87,933,275,190,69,3,6,54,38,26,7,8,5,7,2,1,48,38,25,7,8,4,5
2020-9158,Cordoba,Clay,32,A,20200203,259,105487,105550,,,104655,106198,,,6-4 7-5,3,R32,Facundo Bagnis,L,,ARG,29.93292266,Guido Pella,L,185,ARG,29.71663244,Pablo Cuevas,R,180,URU,34.08898015,Hugo Dellien,R,,BOL,26.63381246,213,305,60,1440,119,715,261,210,75,0,1,64,47,32,12,11,4,4,4,3,64,42,32,7,11,4,6
2020-9158,Cordoba,Clay,32,A,20200203,258,105943,124079,,Alt,105948,106426,,,7-6(5) 6-1,3,R32,Federico Gaio,R,,ITA,27.91512663,Pedro Martinez Portero,R,,ESP,22.77344285,Federico Coria,R,,ARG,27.90417522,Christian Garin,R,,CHI,23.67967146,855,32,193,358,1214,15,252,220,69,3,4,58,40,34,10,10,2,2,1,3,58,42,27,7,9,8,10
2020-9158,Cordoba,Clay,32,A,20200203,257,105269,104235,3,,106398,126663,,WC,6-1 6-1,3,R32,Marcelo Demoliner,R,,BRA,31.04175222,Matwe Middelkoop,R,,NED,36.41889117,Pedro Cachin,R,,ARG,24.81314168,Juan Pablo Ficovich,R,,ARG,23.02532512,58,1530,59,1460,372,116,821,35,41,1,1,37,28,24,4,7,1,1,0,1,41,31,15,4,7,7,12
2020-9158,Cordoba,Clay,32,A,20200203,256,106329,105262,,,105561,126149,,Alt,W/O,3,R32,Thiago Monteiro,L,,BRA,25.67830253,Fernando Romboli,R,180,BRA,31.08008214,Alessandro Giannessi,L,183,ITA,29.68104038,Gianluca Mager,R,,ITA,25.17453799,755,40,100,845,,,380,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-9158,Cordoba,Clay,32,A,20200203,255,105431,105271,,,105695,126115,2,,3-6 6-3 (11-9),3,R32,Ariel Behar,R,,URU,30.22587269,Gonzalo Escobar,L,,ECU,31.03627652,Sander Gille,R,,BEL,29.0513347,Joran Vliegen,U,,BEL,26.57631759,74,1109,71,1157,45,1868,37,2183,74,3,1,55,42,35,5,9,4,5,3,2,59,40,31,11,9,1,2
